occurred_at,status,title,show,author,published,duration,played_up_to,starred,url,podcast_uuid,episode_uuid
"2025-08-27 18:50:20",played,"Let's visit Greenland!","Lateral with Tom Scott","Tom Scott and David Bodycombe","2025-07-11 05:00:00",3006,3006,,https://traffic.megaphone.fm/PAD9460356563.mp3?updated=1752189576,7073c8a0-29b8-013b-ef68-0acc26574db2,4557cc44-870e-4ced-a35c-8d599d97068e
"2025-11-17 12:43:35",played,"The wooden cat","Lateral with Tom Scott","Tom Scott and David Bodycombe","2025-07-18 05:00:00",2888,2888,,https://traffic.megaphone.fm/PAD2763737541.mp3?updated=1752795574,7073c8a0-29b8-013b-ef68-0acc26574db2,442873fe-7384-412b-8c12-9b6ce53fedf9
"2025-11-24 19:15:15",played,"The Secret to Stopping Fear & Creating the Future You Want with Shonda Rhimes","The Mel Robbins Podcast","Mel Robbins","2025-11-10 05:05:00",5010,5010,,https://dts.podtrac.com/redirect.mp3/pdst.fm/e/stitcher.simplecastaudio.com/b9de9f5f-6dab-4833-b4c2-05f1d28dd998/episodes/bc0cbe15-7146-4f0b-ae18-a913f9873c39/audio/128/default.mp3?aid=rss_feed&awCollectionId=b9de9f5f-6dab-4833-b4c2-05f1d28dd998&awEpisodeId=bc0cbe15-7146-4f0b-ae18-a913f9873c39&feed=UCwaTX1J,7c93f660-1beb-013b-05d4-0acc26574db2,a7eb65f9-45c7-4f9e-8ba8-4ea7cd70c107
"2025-11-26 14:57:18",played,"How to Get Things Done, Stay Focused, and Be More Productive","The Mel Robbins Podcast","Mel Robbins","2025-09-04 05:05:00",4866,4866,,https://dts.podtrac.com/redirect.mp3/pdst.fm/e/stitcher.simplecastaudio.com/b9de9f5f-6dab-4833-b4c2-05f1d28dd998/episodes/f2a304b4-a6fc-49ac-8425-e6a6977cd724/audio/128/default.mp3?aid=rss_feed&awCollectionId=b9de9f5f-6dab-4833-b4c2-05f1d28dd998&awEpisodeId=f2a304b4-a6fc-49ac-8425-e6a6977cd724&feed=UCwaTX1J,7c93f660-1beb-013b-05d4-0acc26574db2,901cb7c6-80c3-4b35-a2fc-3404e58052bd
"2025-12-03 18:43:13",played,"World Leading Therapist: Why You Feel Stuck in Life & How to Get Unstuck","The Mel Robbins Podcast","Mel Robbins","2025-11-24 05:05:00",5591,5591,,https://dts.podtrac.com/redirect.mp3/pdst.fm/e/stitcher.simplecastaudio.com/b9de9f5f-6dab-4833-b4c2-05f1d28dd998/episodes/c937f04d-3b24-4dc8-8551-dd17df8361f7/audio/128/default.mp3?aid=rss_feed&awCollectionId=b9de9f5f-6dab-4833-b4c2-05f1d28dd998&awEpisodeId=c937f04d-3b24-4dc8-8551-dd17df8361f7&feed=UCwaTX1J,7c93f660-1beb-013b-05d4-0acc26574db2,a612c7e4-fb1e-4d31-b20f-bedc31214683
"2025-12-06 10:54:57",played,"Donut security","Lateral with Tom Scott","Tom Scott and David Bodycombe","2025-12-05 05:00:00",2759,2759,,https://traffic.megaphone.fm/PAD9481636572.mp3?updated=1764894973,7073c8a0-29b8-013b-ef68-0acc26574db2,1d5a688c-1271-4915-8261-5321284d864f
"2025-12-06 10:54:57",played,"The user un-friendly library","Lateral with Tom Scott","Tom Scott and David Bodycombe","2024-05-10 05:00:00",2646,2646,,https://traffic.megaphone.fm/PAD8551496901.mp3?updated=1713544455,7073c8a0-29b8-013b-ef68-0acc26574db2,3d26559f-9f6f-487e-833f-2b07e5cfb2cf
"2025-12-06 10:54:57",played,"Women in red","Lateral with Tom Scott","Tom Scott and David Bodycombe","2024-04-26 15:15:00",2397,2397,,https://traffic.megaphone.fm/PAD4524202078.mp3?updated=1712914084,7073c8a0-29b8-013b-ef68-0acc26574db2,45dd3146-e55f-4b09-8ef5-361bc8277a05
"2025-12-06 10:54:57",played,"The identical trainers","Lateral with Tom Scott","Tom Scott and David Bodycombe","2024-04-19 15:15:00",2740,2740,,https://traffic.megaphone.fm/PAD1926848576.mp3?updated=1712348340,7073c8a0-29b8-013b-ef68-0acc26574db2,88a7eb8c-18ea-414c-884d-831055d0ade5
"2025-12-06 10:54:57",played,"Cattle at the office","Lateral with Tom Scott","Tom Scott and David Bodycombe","2024-05-03 05:00:00",2879,2851,,https://traffic.megaphone.fm/PAD1276633257.mp3?updated=1713268195,7073c8a0-29b8-013b-ef68-0acc26574db2,ac0dd6a1-a0b2-4d8a-b0a8-27776b9a148f
"2025-12-06 10:54:57",played,"Leftover contraptions","Lateral with Tom Scott","Tom Scott and David Bodycombe","2024-05-17 05:00:00",2979,2979,,https://traffic.megaphone.fm/PAD2815160535.mp3?updated=1714516544,7073c8a0-29b8-013b-ef68-0acc26574db2,b52b4d01-4ab7-4e35-86c3-b2eb982b4b37
"2025-12-06 10:54:57",played,"Pyromaniac novelties","Lateral with Tom Scott","Tom Scott and David Bodycombe","2024-05-24 05:00:00",2581,2581,,https://traffic.megaphone.fm/PAD6609507984.mp3?updated=1714413610,7073c8a0-29b8-013b-ef68-0acc26574db2,face31b4-c140-4bdb-acc3-43276df9b432
"2026-01-14 15:28:13",played,"Removing the roof","Lateral with Tom Scott","Tom Scott and David Bodycombe","2025-12-26 05:00:00",2884,2884,,https://traffic.megaphone.fm/PAD4543336613.mp3?updated=1766632967,7073c8a0-29b8-013b-ef68-0acc26574db2,9861dc08-e842-4299-8c58-2beffa3fbd69
"2026-01-14 15:28:13",played,"If This Episode Doesn’t Motivate You, Nothing Will","The Mel Robbins Podcast","Mel Robbins","2025-12-04 05:05:00",4976,4976,,https://dts.podtrac.com/redirect.mp3/pdst.fm/e/stitcher.simplecastaudio.com/b9de9f5f-6dab-4833-b4c2-05f1d28dd998/episodes/46051af6-466a-41b0-bb9c-ecf318e41ba6/audio/128/default.mp3?aid=rss_feed&awCollectionId=b9de9f5f-6dab-4833-b4c2-05f1d28dd998&awEpisodeId=46051af6-466a-41b0-bb9c-ecf318e41ba6&feed=UCwaTX1J,7c93f660-1beb-013b-05d4-0acc26574db2,24f54b00-5b2d-4441-b2da-5065499b8607
"2026-02-10 10:27:07",played,"Please don't!","Lateral with Tom Scott","Tom Scott and David Bodycombe","2026-01-09 05:00:00",2629,2629,,https://traffic.megaphone.fm/PAD5329842153.mp3?updated=1767895438,7073c8a0-29b8-013b-ef68-0acc26574db2,8172a2b9-06c8-4e6c-bca7-603af4dc6832
"2026-02-17 15:11:07",played,"The metal bar","Lateral with Tom Scott","Tom Scott and David Bodycombe","2026-02-06 05:00:00",2685,2685,,https://traffic.megaphone.fm/PAD4490312265.mp3?updated=1770249982,7073c8a0-29b8-013b-ef68-0acc26574db2,f5343200-09c7-454c-a41a-e7ea7b36b8c6
"2026-02-20 09:07:03",played,"The unplayable record","Lateral with Tom Scott","Tom Scott and David Bodycombe","2025-11-28 05:00:00",2588,2588,,https://traffic.megaphone.fm/PAD3703357874.mp3?updated=1764254878,7073c8a0-29b8-013b-ef68-0acc26574db2,4b475a0d-683a-4425-ac60-d8114ac2b47f
"2026-02-20 09:07:03",played,"4 negotiation tactics to try in everyday life","Life Kit",NPR,"2026-02-16 08:05:02",1210,1210,,https://tracking.swap.fm/track/XvDEoI11TR00olTUO8US/prfx.byspotify.com/e/play.podtrac.com/npr-510338/npr.simplecastaudio.com/8ae5a040-e346-4b89-ba6b-625f91f1fbd4/episodes/06c5979f-be1c-4c42-8e86-99e1333c8fd5/audio/128/default.mp3?awCollectionId=8ae5a040-e346-4b89-ba6b-625f91f1fbd4&awEpisodeId=06c5979f-be1c-4c42-8e86-99e1333c8fd5&t=podcast&e=nx-s1-5702835&p=510338&d=1210&size=19369109,7160b1f0-4a71-0137-f266-1d245fc5f9cf,6fff793c-7a37-4444-9434-c884758180cc
