occurred_at,flight_number,airline_icao,origin_iata,destination_iata,distance_miles,cabin_class,reason,meta
2023-09-13T20:27,8685,EZY,AMS,LGW,227,economy,,"{""aircraft"":""Airbus A319"",""seat"":""3B"",""seat_type"":""MIDDLE"",""pnr"":""K5XSC6B"",""dep_terminal"":""Main"",""arr_terminal"":""N"",""departed_scheduled"":""2023-09-13T20:10"",""departed_actual"":""2023-09-13T20:27"",""arrived_scheduled"":""2023-09-13T20:25"",""arrived_actual"":""2023-09-13T20:57:58""}"
2023-10-14T16:37,7702,WUK,LTN,SKP,1236,economy,,"{""aircraft"":""Airbus A321neo"",""seat"":""21E"",""seat_type"":""MIDDLE"",""pnr"":""WNHDYX"",""departed_scheduled"":""2023-10-14T15:30"",""departed_actual"":""2023-10-14T16:37"",""arrived_scheduled"":""2023-10-14T19:50"",""arrived_actual"":""2023-10-14T20:09""}"
2023-10-17T20:40,7701,WUK,SKP,LTN,1236,economy,,"{""aircraft"":""Airbus A320"",""seat"":""19A"",""seat_type"":""WINDOW"",""pnr"":""WNHDYX"",""dep_gate"":""201"",""departed_scheduled"":""2023-10-17T20:30"",""departed_actual"":""2023-10-17T20:40"",""arrived_scheduled"":""2023-10-17T23:10""}"
2023-11-20T06:33,823,EZY,LGW,BFS,349,economy,,"{""aircraft"":""Airbus A319"",""seat"":""5A"",""seat_type"":""WINDOW"",""pnr"":""K69651S"",""dep_terminal"":""N"",""departed_scheduled"":""2023-11-20T06:30"",""departed_actual"":""2023-11-20T06:33"",""arrived_scheduled"":""2023-11-20T07:55"",""arrived_actual"":""2023-11-20T07:52""}"
2023-11-22T20:49,834,EZY,BFS,LGW,349,economy,,"{""aircraft"":""Airbus A320"",""seat"":""2A"",""seat_type"":""WINDOW"",""pnr"":""K69651S"",""arr_terminal"":""N"",""departed_scheduled"":""2023-11-22T20:55"",""departed_actual"":""2023-11-22T20:49"",""arrived_scheduled"":""2023-11-22T22:15"",""arrived_actual"":""2023-11-22T21:55""}"
2023-12-04T06:00,5775,WUK,LGW,PRG,637,economy,,"{""aircraft"":""Airbus A321neo"",""seat"":""4B"",""seat_type"":""MIDDLE"",""pnr"":""YWY6JH"",""arr_terminal"":""1"",""departed_scheduled"":""2023-12-04T06:00"",""arrived_scheduled"":""2023-12-04T08:55""}"
2023-12-06T21:14,8784,EZY,PRG,LGW,637,economy,,"{""aircraft"":""Airbus A321neo"",""seat"":""4C"",""seat_type"":""AISLE"",""pnr"":""K6DSBBV"",""dep_terminal"":""1"",""dep_gate"":""A7"",""arr_terminal"":""N"",""departed_scheduled"":""2023-12-06T20:50"",""departed_actual"":""2023-12-06T21:14"",""arrived_scheduled"":""2023-12-06T22:00"",""arrived_actual"":""2023-12-06T22:23""}"
2024-01-22T07:03,8055,EZY,LGW,BCN,690,economy,,"{""aircraft"":""Airbus A319"",""seat"":""5C"",""seat_type"":""AISLE"",""pnr"":""K6JCWQF"",""dep_terminal"":""N"",""arr_terminal"":""2"",""departed_scheduled"":""2024-01-22T06:55"",""departed_actual"":""2024-01-22T07:03"",""arrived_scheduled"":""2024-01-22T10:00"",""arrived_actual"":""2024-01-22T09:54""}"
2024-01-24T19:51,8058,EZY,BCN,LGW,690,economy,,"{""aircraft"":""Airbus A319"",""seat"":""4A"",""seat_type"":""WINDOW"",""pnr"":""K6JCWQF"",""dep_terminal"":""2"",""dep_gate"":""M6"",""arr_terminal"":""N"",""departed_scheduled"":""2024-01-24T19:40"",""departed_actual"":""2024-01-24T19:51"",""arrived_scheduled"":""2024-01-24T21:05"",""arrived_actual"":""2024-01-24T21:08""}"
2024-02-26T06:33,8471,EZY,LGW,ZRH,469,economy,,"{""aircraft"":""Airbus A319"",""seat"":""5B"",""seat_type"":""MIDDLE"",""pnr"":""K6PLS7M"",""dep_terminal"":""N"",""departed_scheduled"":""2024-02-26T06:40"",""departed_actual"":""2024-02-26T06:33"",""arrived_scheduled"":""2024-02-26T09:20"",""arrived_actual"":""2024-02-26T09:16""}"
