iata_code,icao_code,name,city,country,latitude,longitude
JAQ,,"Jacquinot Bay Airport","Jacquinot Bay",PG,-5.6525,151.507004
KUY,,"Kamusi Airport",Kamusi,PG,-7.420347,143.121811
LMY,,"Lake Murray Airport","Lake Murray",PG,-7.00992012024,141.494003296
ULE,,"Sule Airport",Sule,PG,-4.9747200012207,151.29699707031
PGE,,"Yegepa Airport",,PG,-7.13444444444,146.156388889
PGM,,"Port Graham Airport","Port Graham",US,59.348355,-151.830025
ROP,PGRO,"Rota International Airport","Rota Island",MP,14.1743,145.242996
SPN,PGSN,"Saipan International Airport","I Fadang, Saipan",MP,15.119,145.729004
UAM,PGUA,"Andersen Air Force Base",Yigo,GU,13.584,144.929998
GUM,PGUM,"Antonio B. Won Pat International Airport",Hagåtña,GU,13.485,144.797282
TIQ,PGWT,"Tinian International Airport","Tinian Island",MP,14.998101,145.61923
TGB,,"Tagbita Airstrip",Rizal,PH,8.71491,117.35259
BKH,PHBK,"Barking Sands Airport",Kekaha,US,22.0228,-159.785004
HDH,PHDH,"Kawaihapai Airfield",Mokuleia,US,21.5795,-158.197006
HHI,PHHI,"Wheeler Army Airfield",Wahiawa,US,21.481637,-158.037048
HNM,PHHN,"Hana Airport",Hana,US,20.795601,-156.014008
HIK,PHIK,"Hickam Air Force Base",Honolulu,US,21.335278,-157.948333
JHM,PHJH,"Kapalua Airport",Lahaina,US,20.9629,-156.673004
JRF,PHJR,"Kalaeloa Airport",Kapolei,US,21.3074,-158.070009
KOA,PHKO,"Ellison Onizuka Kona International Airport at Keahole",Kailua-Kona,US,19.738783,-156.045603
LIH,PHLI,"Lihue Airport",Lihue,US,21.976,-159.339005
LUP,PHLU,"Kalaupapa Airport",Kalaupapa,US,21.211,-156.973999
MKK,PHMK,"Molokai Airport",Kaunakakai,US,21.152901,-157.095993
MUE,PHMU,"Waimea Kohala Airport","Waimea (Kamuela)",US,20.001301,-155.667999
NGF,PHNG,"Kaneohe Bay MCAS (Marion E. Carl Field) Airport",Kaneohe,US,21.4505,-157.768005
HNL,PHNL,"Daniel K Inouye International Airport","Honolulu, Oahu",US,21.32062,-157.924228
LNY,PHNY,"Lanai Airport","Lanai City",US,20.785675,-156.951324
